ethnic_code,country_iso3
aar,DJI
aar,ERI
aar,ETH
abk,GEO
abk,DEU
abk,RUS
abk,SYR
abk,TUR
abk,UKR
abr,AUS
ace,IDN
ace,MYS
acg,CHN
acg,MMR
ach,SDN
ach,UGA
ada,CAN
ada,DEU
ada,GBR
ada,GHA
ada,TGO
ada,USA
adi,IND
adi,NPL
adj,GEO
adj,TUR
ady,BGR
ady,DEU
ady,IRQ
ady,ISR
ady,JOR
ady,LBY
ady,NLD
ady,RUS
ady,SYR
ady,TUR
ady,USA
afa,BRA
afa,COL
afa,CRI
afa,CUB
afa,DZA
afa,ECU
afa,GBR
afa,HTI
afa,LBY
afa,MEX
afa,MLI
afa,MRT
afa,NIC
afa,PER
afa,TTO
afa,USA
afa,VEN
afa,ZAF
afa,ZWE
afr,BWA
afr,LSO
afr,MWI
afr,SWZ
afr,ZAF
afr,ZMB
afr,ZWE
ahm,BGD
ahm,IND
ahm,IDN
ahm,PAK
ain,JPN
ain,RUS
aja,BEN
aja,TGO
aka,BEN
aka,BFA
aka,CAN
aka,CIV
aka,FRA
aka,GBR
aka,GHA
aka,JAM
aka,LBR
aka,MLI
aka,NGA
aka,SUR
aka,TGO
aka,USA
aku,GMB
alb,ALB
alb,CAN
alb,CHE
alb,DEU
alb,DNK
alb,GBR
alb,GRC
alb,HRV
alb,ITA
alb,MKD
alb,MTN
alb,NLD
alb,NOR
alb,ROM
alb,SRB
alb,SWE
alb,TUR
alb,UKR
alb,USA
ale,RUS
ale,USA
alg,USA
alt,RUS
alu,COD
alu,UGA
amb,IDN
ame,LBR
amh,CAN
amh,DJI
amh,EGY
amh,ERI
amh,ETH
amh,ISR
amh,NOR
amh,SDN
amh,SOM
amh,SWE
amh,USA
amh,YEM
anp,IND
anp,NPL
apa,USA
ara,DZA
ara,EGY
ara,ISR
ara,IRN
ara,IRQ
ara,JOR
ara,KWT
ara,LBN
ara,LBY
ara,MAR
ara,MLI
ara,SAU
ara,SDN
ara,SOM
ara,SYR
ara,TCD
ara,TUN
ara,USA
ara,YEM
arg,ESP
arm,ARG
arm,ARM
arm,AUS
arm,AZE
arm,BRA
arm,CAN
arm,CYP
arm,FRA
arm,GEO
arm,GRC
arm,LBN
arm,POL
arm,RUS
arm,SYR
arm,TUR
arm,UKR
arm,USA
arn,ARG
arn,CHL
arp,USA
arw,COL
arw,GUY
arw,SUR
arw,VEN
asa,AUS
asa,CHN
asa,GBR
asa,JPN
asa,KOR
asa,LAO
asa,MMR
asa,PRK
asa,THA
asa,UGA
asa,USA
asa,VNM
asa,ZAF
asm,IND
ast,ESP
asy,AUS
asy,BEL
asy,CAN
asy,CHE
asy,DEU
asy,DNK
asy,FRA
asy,IRN
asy,IRQ
asy,ITA
asy,JOR
asy,LBN
asy,NLD
asy,RUS
asy,SWE
asy,TUR
asy,USA
ata,CHL
atg,ARG
atg,AUS
atg,BOL
atg,BRA
atg,CAN
atg,CHE
atg,CHL
atg,DEU
atg,ESP
atg,FRA
atg,GBR
atg,ISR
atg,ITA
atg,JPN
atg,MEX
atg,PER
atg,PRY
atg,URY
atg,USA
atg,VEN
ath,CAN
ath,USA
aus,AUS
auu,AUS
auu,AUT
auu,ARG
auu,CAN
auu,CHE
auu,CZE
auu,DEU
auu,GBR
auu,GRC
auu,HUN
auu,ITA
auu,NZL
auu,SWE
auu,USA
auu,ZAF
ava,AZE
ava,GEO
ava,RUS
awa,IND
aym,BOL
aym,CHL
aym,PER
aze,AUT
aze,AZE
aze,BLR
aze,CAN
aze,DEU
aze,GBR
aze,IRN
aze,KAZ
aze,KGZ
aze,LVA
aze,NLD
aze,RUS
aze,TUR
aze,UKR
aze,USA
aze,UZB
bad,CAN
bad,GBR
bad,SWE
bad,UGA
bad,ZAF
bad,USA
bai,CMR
bak,BLR
bak,KAZ
bak,KGZ
bak,RUS
bak,TJK
bak,UKR
bak,UZB
bal,AFG
bal,ARE
bal,IRN
bal,OMN
bal,PAK
bam,BFA
bam,GIN
bam,MLI
bam,NER
bam,SEN
ban,IDN
baq,ARG
baq,CHL
baq,CRI
baq,CUB
baq,BOL
baq,BRA
baq,ESP
baq,FRA
baq,MEX
baq,URY
baq,USA
baq,VEN
bar,SDN
bas,CMR
bas,UGA
bda,BGD
bda,IND
bda,MMR
bej,EGY
bej,ERI
bej,SDN
bel,ARG
bel,BEL
bel,BLR
bel,BRA
bel,CAN
bel,EST
bel,GBR
bel,ISR
bel,KAZ
bel,LTU
bel,LVA
bel,MDA
bel,POL
bel,RUS
bel,UKR
bel,USA
bem,ZMB
ben,BGD
ben,GBR
ben,IND
ben,NPL
ben,MMR
ben,MYS
ben,PAK
ben,SWE
ben,THA
ben,USA
ber,CAN
ber,DZA
ber,EGY
ber,LBY
ber,MAR
ber,MLI
ber,NER
ber,TUN
ber,USA
bey,DZA
bey,LBY
bey,MRT
bey,MAR
bey,TUN
bho,FJI
bho,GUY
bho,IND
bho,MUS
bho,NPL
bho,SUR
bho,TTO
bih,BGD
bih,FJI
bih,GBR
bih,GUY
bih,IND
bih,MUS
bih,NPL
bih,PAK
bih,SUR
bih,TTO
bih,USA
bii,CHN
bik,PHL
bin,NGA
bis,VUT
bke,COD
bke,COG
bke,GAB
bkn,AGO
bkn,COD
bkn,COG
bkw,CMR
bla,CAN
blg,CHN
blg,MMR
blg,THA
blk,KAZ
blk,RUS
bln,GMB
bln,GNB
bln,SEN
bmr,AUS
bmr,GBR
bmr,MMR
bmr,THA
bmr,SGP
bmr,MYS
bmr,GBR
bmr,AUS
bmr,USA
bni,ETH
bnt,AGO
bnt,CMR
bnt,COD
bnt,NAM
bnt,TZA
bnt,ZAF
bnt,ZMB
bny,COD
bny,UGA
bod,IND
bol,BOL
bol,CHL
bol,PER
bol,PRY
bon,CHN
bos,AUS
bos,AUT
bos,BEL
bos,BIH
bos,DEU
bos,DNK
bos,HRV
bos,ITA
bos,MKD
bos,MTN
bos,NOR
bos,SRB
bos,SVN
bos,SWE
bos,TUR
bos,USA
bou,CHN
bou,VNM
bra,IND
brb,BEN
bre,CAN
bre,FRA
brh,AFG
brh,IRN
brh,PAK
brk,JPN
brm,IND
brm,NPL
bsh,BWA
bsh,NAM
bsh,ZAF
bst,NAM
bsu,BWA
bsu,NAM
bsu,ZMB
bte,CMR
bte,COG
bte,GAB
bte,GNQ
bte,STP
btk,IDN
bua,KAZ
bua,MNG
bua,RUS
bua,UZB
bua,UKR
bug,IDN
bug,MYS
bug,SGP
bul,ALB
bul,ARE
bul,AUT
bul,BEL
bul,BGR
bul,CAN
bul,CZE
bul,DEU
bul,ESP
bul,FRA
bul,GBR
bul,GRC
bul,HUN
bul,ITA
bul,KAZ
bul,MDA
bul,PRT
bul,ROM
bul,RUS
bul,SRB
bul,TUR
bul,UKR
bul,ZAF
byn,ERI
cab,AGO
cad,USA
cap,CPV
cap,GNB
car,BRA
car,GUY
car,SUR
car,VEN
cat,AND
cat,ARG
cat,CHL
cat,CUB
cat,DEU
cat,ESP
cat,FRA
cat,ITA
cat,MEX
cat,VEN
ceb,PHL
cha,FSM
cha,MNP
cha,USA
chc,RUS
che,AZE
che,EGY
che,GEO
che,IRN
che,IRQ
che,JOR
che,KAZ
che,RUS
che,SYR
che,TUR
chg,UZB
chi,AUS
chi,BRA
chi,CAN
chi,CHN
chi,ESP
chi,FRA
chi,GBR
chi,IDN
chi,IND
chi,ITA
chi,KHM
chi,KOR
chi,LAO
chi,MMR
chi,MYS
chi,NLD
chi,NZL
chi,PER
chi,PHL
chi,PRK
chi,SGP
chi,THA
chi,USA
chi,VNM
chi,ZAF
chk,FSM
chl,ARG
chl,BRA
chl,CHL
chl,DEU
chl,ESP
chl,FRA
chl,SWE
chl,USA
chl,VEN
chm,RUS
chn,USA
cho,USA
chp,CAN
chr,USA
cht,GTM
cht,HND
chv,BLR
chv,KAZ
chv,KGZ
chv,MDA
chv,RUS
chv,TKM
chv,UZB
chw,MWI
chy,USA
cmc,FRA
cmc,KHM
cmc,LAO
cmc,MYS
cmc,THA
cmc,USA
cmc,VNM
col,ARG
col,AUS
col,BRA
col,CAN
col,COL
col,CRI
col,ESP
col,GBR
col,ISR
col,ITA
col,MEX
col,USA
col,VEN
cor,AUS
cor,CAN
cor,GBR
cor,MEX
cor,NZL
cor,USA
cor,ZAF
cos,FRA
cot,MDG
cpe,BLZ
cpe,JAM
cpe,NGA
cpe,SLE
cpf,DMA
cpf,GLP
cpf,HTI
cpf,LCA
cpf,MTQ
cpf,TTO
cpp,CPV
cpp,GMB
cpp,GNB
cpp,GNQ
cpp,SEN
cpp,STP
cre,CAN
cre,USA
crh,BGR
crh,ROM
crh,TUR
crh,UKR
crh,UZB
crp,BLZ
crp,CPV
crp,DMA
crp,GLP
crp,GMB
crp,GNB
crp,GNQ
crp,HTI
crp,JAM
crp,LCA
crp,MTQ
crp,NGA
crp,SEN
crp,SLE
crp,STP
crp,TTO
csb,CAN
csb,DEU
csb,POL
csr,CRI
csr,NIC
csr,PAN
cus,EGY
cus,KEN
cus,SDN
cus,SOM
cus,TZA
cze,ARG
cze,AUS
cze,AUT
cze,BRA
cze,CAN
cze,CHE
cze,CZE
cze,DEU
cze,ESP
cze,FRA
cze,GBR
cze,HRV
cze,ISR
cze,IRL
cze,ITA
cze,MEX
cze,NLD
cze,POL
cze,ROM
cze,RUS
cze,SRB
cze,SVK
cze,SVN
cze,SWE
cze,UKR
cze,USA
cze,ZAF
dai,CHN
dai,LAO
dai,THA
dak,USA
dal,BGD
dal,IND
dal,LKA
dal,NPL
dal,PAK
dam,NAM
dan,AUS
dan,AUT
dan,BRA
dan,CAN
dan,CHE
dan,DEU
dan,DNK
dan,ESP
dan,FRA
dan,GBR
dan,IRL
dan,ISL
dan,NOR
dan,NZL
dan,SWE
dan,USA
dao,CHN
dao,LAO
dao,THA
dao,VNM
dar,RUS
dau,CHN
day,BRN
day,IDN
day,MYS
del,CAN
del,USA
dgr,CAN
din,SDN
div,MDV
dje,NER
doi,IND
doi,PAK
dom,DOM
dom,HTI
dom,USA
don,CHN
don,VNM
dox,CHN
dra,IND
dra,LKA
dra,PAK
dru,AUS
dru,CAN
dru,ISR
dru,JOR
dru,LBN
dru,SYR
dru,USA
dru,VEN
dsb,DEU
dua,CMR
dut,AUS
dut,CAN
dut,BEL
dut,BRA
dut,NLD
dut,NZL
dut,USA
dut,ZAF
dyu,BFA
dyu,GNB
dyu,MLI
dyu,SEN
dzo,BTN
dzo,IND
eat,IDN
eat,TMP
ecu,CHL
ecu,COL
ecu,ECU
ecu,ESP
ecu,PER
ecu,PRY
ecu,USA
ecu,VEN
efi,CMR
efi,NGA
ein,MYS
ein,TTO
eka,NGA
eng,CAN
eng,GBR
eng,IRL
eng,NZL
eng,ZAF
esh,GAB
est,BEL
est,CAN
est,EST
est,FIN
est,GBR
est,IRL
est,LVA
est,NOR
est,RUS
est,SWE
est,UKR
est,USA
eur,ZWE
eve,CHN
eve,RUS
ewe,BEN
ewe,GHA
ewe,TGO
ewo,CMR
fan,COG
fan,GAB
fan,GNQ
fao,DNK
fao,ISL
fao,NOR
fat,GHA
fij,AUS
fij,FJI
fij,GBR
fij,NZL
fij,USA
fil,ARE
fil,AUS
fil,CAN
fil,CHN
fil,ESP
fil,ISR
fil,ITA
fil,JPN
fil,KOR
fil,KWT
fil,MYS
fil,NGA
fil,NLD
fil,NOR
fil,NZL
fil,PAK
fil,PHL
fil,QAT
fil,SAU
fil,USA
fin,ARE
fin,AUS
fin,CAN
fin,CHE
fin,DEU
fin,DNK
fin,ESP
fin,EST
fin,FIN
fin,FRA
fin,NLD
fin,NOR
fin,RUS
fin,SWE
fin,USA
fiu,CAN
fiu,EST
fiu,FIN
fiu,HUN
fiu,NZL
fiu,ROM
fiu,RUS
fiu,SVK
fiu,SWE
fiu,USA
fon,BEN
fon,NGA
fre,BEL
fre,BRA
fre,CAN
fre,CHE
fre,FRA
fre,GBR
fre,USA
fri,BGD
fri,BTN
fri,IND
fri,NPL
frr,DEU
fru,SDN
ful,BEN
ful,BFA
ful,CAF
ful,CIV
ful,CMR
ful,GIN
ful,GMB
ful,GNB
ful,LBR
ful,MRT
ful,NER
ful,NGA
ful,SDN
ful,SEN
ful,SLE
ful,TCD
ful,TGO
fur,ITA
gar,BLZ
gar,GTM
gar,HND
gar,NIC
gay,IDN
gba,CAF
gba,CMR
gba,COD
gba,COG
gel,CHN
geo,ARM
geo,AZE
geo,BRA
geo,CAN
geo,FRA
geo,GBR
geo,GEO
geo,GRC
geo,ISR
geo,ITA
geo,KAZ
geo,RUS
geo,SGP
geo,TUR
geo,UKR
geo,USA
ger,ARG
ger,AUS
ger,AUT
ger,BEL
ger,BOL
ger,BRA
ger,CAN
ger,CHE
ger,CZE
ger,DEU
ger,DNK
ger,ECU
ger,ESP
ger,FRA
ger,GBR
ger,GRC
ger,HUN
ger,ISR
ger,ITA
ger,KAZ
ger,NAM
ger,NOR
ger,POL
ger,ROM
ger,RUS
ger,URY
ger,ZAF
gia,VNM
gil,FJI
gil,KIR
gil,MHL
gil,NRU
gil,SLB
gil,TUV
gil,VUT
gin,CHN
gio,CIV
gio,LBR
gla,GBR
gla,IRL
gle,ARG
gle,AUS
gle,CAN
gle,GBR
gle,IRL
gle,MEX
glg,AND
glg,ARG
glg,BRA
glg,CHE
glg,CUB
glg,DEU
glg,ESP
glg,FRA
glg,GBR
glg,MEX
glg,NLD
glg,PRT
glg,URY
glg,USA
glg,VEN
glv,GBR
glv,USA
gon,IND
gor,IDN
gra,CMR
grb,CIV
grb,LBR
gre,ALB
gre,ARG
gre,AUS
gre,BEL
gre,BRA
gre,CAN
gre,CHE
gre,CYP
gre,DEU
gre,FRA
gre,GBR
gre,GER
gre,GRC
gre,KAZ
gre,ROM
gre,RUS
gre,SWE
gre,UKR
gre,USA
gre,UZB
grn,ARG
grn,BOL
grn,BRA
grn,PRY
gsw,AUT
gsw,CHE
gsw,DEU
gsw,ITA
gua,BLZ
gua,CRI
gua,GTM
gua,HND
gua,MEX
gua,NIC
gua,USA
guj,AUS
guj,CAN
guj,GBR
guj,IND
guj,KEN
guj,MDG
guj,MUS
guj,MWI
guj,MYS
guj,SGP
guj,TTO
guj,TZA
guj,UGA
guj,USA
guj,ZAF
gun,GHA
gwi,CAN
gwi,USA
had,TCD
hai,CAN
hai,USA
har,ETH
hat,DOM
hat,ESP
hat,FRA
hat,HTI
hat,USA
hau,BEN
hau,BFA
hau,CIV
hau,CMR
hau,ERI
hau,GHA
hau,NER
hau,NGA
hau,SDN
hau,TCD
hau,TGO
haw,USA
haz,AFG
haz,PAK
her,AGO
her,BWA
her,NAM
hgh,MDG
hgh,THA
hil,PHL
him,IND
hmn,AUS
hmn,CAN
hmn,CHN
hmn,DEU
hmn,FRA
hmn,LAO
hmn,THA
hmn,USA
hmn,VNM
hmo,PNG
hni,CHN
hni,VNM
hoa,VNM
hon,GTM
hon,HND
hon,MEX
hon,SLV
hon,USA
hrt,MRT
hrt,MAR
hrv,ARG
hrv,AUS
hrv,AUT
hrv,BIH
hrv,CAN
hrv,CHE
hrv,CHL
hrv,DEU
hrv,DNK
hrv,FRA
hrv,HRV
hrv,HUN
hrv,ITA
hrv,MTN
hrv,NOR
hrv,ROM
hrv,SRB
hrv,SVN
hrv,SWE
hrv,USA
hrv,ZAF
hsb,DEU
hui,CHN
hun,BRA
hun,CAN
hun,CHL
hun,CZE
hun,GBR
hun,HRV
hun,HUN
hun,IRL
hun,MKD
hun,ROM
hun,RUS
hun,SRB
hun,SVK
hun,SVN
hun,TUR
hun,UKR
hun,USA
hup,USA
hut,BDI
hut,COD
hut,RWA
iba,IDN
ibo,CMR
ibo,GBR
ibo,GHA
ibo,GNQ
ibo,JAM
ibo,JPN
ibo,NGA
ibo,SLE
ibo,TTO
ibo,USA
ice,CAN
ice,ISL
ice,NOR
ice,USA
idg,PHL
idg,MEX
idg,COL
idg,ECU
idg,LBR
idg,CAN
idg,USA
idn,ARE
idn,AUS
idn,BHR
idn,CAN
idn,FRA
idn,GBR
idn,GUY
idn,IND
idn,KWT
idn,MMR
idn,MUS
idn,NPL
idn,SGP
idn,OMN
idn,SAU
idn,USA
idn,TTO
idn,ZAF
iii,CHN
ijo,NGA
iku,CAN
ilo,PHL
ilo,USA
ind,ARE
ind,AUS
ind,CAN
ind,IDN
ind,JPN
ind,KOR
ind,MYS
ind,NLD
ind,PHL
ind,SAU
ind,SGP
ind,SUR
ind,USA
inh,KAZ
inh,RUS
inh,TUR
ipk,CAN
ipk,USA
ira,ARE
ira,AUS
ira,AUT
ira,CAN
ira,CHE
ira,BHR
ira,DEU
ira,DNK
ira,ESP
ira,FRA
ira,GBR
ira,IRN
ira,ISR
ira,ITA
ira,JPN
ira,KWT
ira,MYS
ira,NLD
ira,NOR
ira,PHL
ira,RUS
ira,TUR
ira,SWE
ira,USA
iro,CAN
iro,USA
ita,AUT
ita,CHE
ita,DEU
ita,ESP
ita,FRA
ita,HRV
ita,ITA
ita,SVN
ita,USA
jav,IDN
jav,MYS
jav,NLD
jav,SUR
jew,ARG
jew,CAN
jew,ISR
jew,IRN
jew,POL
jew,RUS
jew,USA
jin,CHN
jol,GMB
jol,GNB
jol,SEN
jpn,ARG
jpn,AUS
jpn,BOL
jpn,BRA
jpn,CAN
jpn,CHL
jpn,CHN
jpn,DEU
jpn,FSM
jpn,GBR
jpn,IDN
jpn,ITA
jpn,JPN
jpn,KOR
jpn,MEX
jpn,NZL
jpn,PER
jpn,PHL
jpn,PRY
jpn,SGP
jpn,THA
jpn,USA
jpn,VNM
kaa,KAZ
kaa,RUS
kaa,TKM
kaa,TUR
kaa,UZB
kab,CAN
kab,DZA
kab,FRA
kab,USA
kac,CHN
kac,IND
kac,MMR
kad,MYS
kak,UGA
kal,DNK
kam,KEN
kan,IND
kao,COD
kao,ZMB
kar,MMR
kar,THA
