religion_code,description,depth,parent_code
ABR,(other) Abrahamic religions,1,
ABR010,Freemasonry,2,ABR
ABR011,Prince Hall Freemasonry,2,ABR
ABR012,Ancient Arabic Order of the Nobles of the Mystic Shrine   a.k.a. Shriners,2,ABR
ABRNRM,new Abrahamic movements,2,ABR
ABRNRM010,Builders of the Adytum,3,ABRNRM
ABRNRM020,House of Yahweh,3,ABRNRM
ABRNRM030,Pilgrims of Ares,3,ABRNRM
ABRRAC,racial Abrahamic religions,2,ABR
ABRRAC010,Rastafarianism,3,ABRRAC
ABRRAC011,Bobo Shanti,3,ABRRAC
ABRRAC012,Nyahbinghi Order,3,ABRRAC
ABRRAC013,Twelve Tribes of Israel,3,ABRRAC
ADR,African diasporic religions,1,
ADR010,Arara,2,ADR
ADR020,"Candomble (Animism, Batuque)",2,ADR
ADR021,Ketu Candomble,2,ADR
ADR022,Bantu/Angola Candomble,2,ADR
ADR023,Jeje Candomble,2,ADR
ADR030,Kumina,2,ADR
ADR040,Macumba,2,ADR
ADR050,"Mami Wata (the name refers to the deity, not the religion)",2,ADR
ADR060,Obeah (can also be used to describe some folk practices within local Protestant denominations),2,ADR
ADR070,Palo/Las Reglas de Congo,2,ADR
ADR080,Winti,2,ADR
ADRSYN,syncretic African diasporic religions,2,ADR
ADRSYN010,Hoodoo,3,ADRSYN
ADRSYN020,Quimbanda,3,ADRSYN
ADRSYN030,Santera a.k.a. Lukum,3,ADRSYN
ADRSYN040,Santo Daime,3,ADRSYN
ADRSYN050,Umbanda,3,ADRSYN
ADRSYN060,Vodou,3,ADRSYN
ADRSYN061,Louisianan Voodoo,3,ADRSYN
ADRSYN062,Haitian Vodou,3,ADRSYN
ATH,Agnostic/Atheist,1,
ATH010,Freethought,2,ATH
BAH,Bahai Faith         inc. all non-schismatic Bahai,1,
BAH010,Baha’is Under the Provisions of the Covenant,2,BAH
BAH020,Faith of God a.k.a. the House of Mankind and the Universal Palace of Order,2,BAH
BAH030,Free Baha’i Faith,2,BAH
BAH040,Orthodox Baha’i Faith a.k.a. Mother Baha’i Council,2,BAH
BAH050,Orthodox Baha’i Faith Under the Regency,2,BAH
BAH060,Charles Mason Remey Society,2,BAH
BAH070,The Friends Newsletter,2,BAH
BUD,Buddhism,1,
BUDMAH,Mahayana Buddhism,2,BUD
BUDMAH100,Pure Land Buddhism a.k.a. Amidism,3,BUDMAH
BUDMAH110,Jodo Shinshu a.k.a. Shin Buddhism,3,BUDMAH
BUDMAH111,"Hongan-ji School a.k.a. Jodo Shinshu Hompa Hongwanji-ha, Nishi Hongan-ji",3,BUDMAH
BUDMAH112,"Otani School a.k.a. Jodo Shinshu Otani-ha, Higashi Hongan-ji",3,BUDMAH
BUDMAH113,Takada School,3,BUDMAH
BUDMAH114,Bukkoji School,3,BUDMAH
BUDMAH115,Kosho School,3,BUDMAH
BUDMAH116,Kibe School,3,BUDMAH
BUDMAH117,Izumoji School,3,BUDMAH
BUDMAH118,Joshoji School,3,BUDMAH
BUDMAH120,Jodo Shu (mainline group: ”Chinzei” branch),3,BUDMAH
BUDMAH121,Seizan branch,3,BUDMAH
BUDMAH130,"Vietnamese Pure Land Buddhism (specifically, Vietnamese Pure Land Buddhism Association)",3,BUDMAH
BUDMAH140,Yuzu Nembutsu,3,BUDMAH
BUDMAH200,Zen Buddhism a.k.a. Chan Buddhism,3,BUDMAH
BUDMAH210,Classic Zen,3,BUDMAH
BUDMAH211,Caodong school inc. Soto sect (Japanese line),3,BUDMAH
BUDMAH212,Fayan school,3,BUDMAH
BUDMAH213,Guiyang school,3,BUDMAH
BUDMAH214,Linji school inc. Rinzai school (Japanese line),3,BUDMAH
BUDMAH215,Yunmen school,3,BUDMAH
BUDMAH220,Japanese Zen (excluding classical schools),3,BUDMAH
BUDMAH221,Obaku,3,BUDMAH
BUDMAH223,Soto,3,BUDMAH
BUDMAH230,Seon Buddhism a.k.a. Korean Zen,3,BUDMAH
BUDMAH231,Jogye Order,3,BUDMAH
BUDMAH240,"Thien Tong a.k.a. Thien Buddhism, Vietnamese Zen",3,BUDMAH
BUDMAH300,Nichiren Buddhism (note that a number of names are shared by multiple schools/sects),3,BUDMAH
BUDMAH301,Fuji Taisekiji Kenshokai,3,BUDMAH
BUDMAH302,Fuju-fuse Nichiren Komon Shu,3,BUDMAH
BUDMAH303,Hokke Nichiren Shu,3,BUDMAH
BUDMAH304,Hokkeshu,3,BUDMAH
BUDMAH305,Hompa Nichiren Shu,3,BUDMAH
BUDMAH306,Honke Nichiren Shu,3,BUDMAH
BUDMAH307,Honmon Butsuryu Shu Ja,3,BUDMAH
BUDMAH308,Honmon Hokke Shu,3,BUDMAH
BUDMAH309,Honmon Kyoo Shu,3,BUDMAH
BUDMAH310,Honmon Shoshu,3,BUDMAH
BUDMAH311,Kempon Hokke Shu,3,BUDMAH
BUDMAH312,Kokuchukai— a.k.a. Kokuchukai ja,3,BUDMAH
BUDMAH313,Nichiren Hokke Shu,3,BUDMAH
BUDMAH314,Nichiren Honshu,3,BUDMAH
BUDMAH315,Nichiren Komon Shu,3,BUDMAH
BUDMAH316,Nichiren Shoshu,3,BUDMAH
BUDMAH317,Nichiren Shu,3,BUDMAH
BUDMAH318,Nichiren Shu Fuju-fuse-ha a.s.a. Nichirenshu Fuju-fuse-ha,3,BUDMAH
BUDMAH319,Nipponzan Myohoji,3,BUDMAH
BUDMAH320,Reiyukai a.k.a. Spiritual-Friendship-Association,3,BUDMAH
BUDMAH321,Rissho Kosei Kai,3,BUDMAH
BUDMAH322,Shobo Hokke Shu,3,BUDMAH
BUDMAH323,Shoshinkai,3,BUDMAH
